Fecha,Planta 3M5 - Analizada x Vía Húmeda - Metalización [%],Planta 3M5 - Analizada x Vía Húmeda - Fierro Total [%],Planta 3M5 - Analizada x Leco - Metalización [%],Planta 3M5 - Analizada x Leco - Carbón [%],Planta 3M5 - Analizada x Leco - Azufre [%],Planta 3M5 - Analizada x Leco - Oxígeno [%],"Planta 3M5 - Granulometría - +1/8"" [%]","Planta 3M5 - Granulometría - - 1/8"" [%]","Planta 3M5 - Granulometría - Finos - 1/4"" [%]",Planta 4M - Analizada x Vía Húmeda - Metalización [%],Planta 4M - Analizada x Vía Húmeda - Fierro Total [%],Planta 4M - Analizada x Leco - Metalización [%],Planta 4M - Analizada x Leco - Carbón [%],Planta 4M - Analizada x Leco - Azufre [%],Planta 4M - Analizada x Leco - Oxígeno [%],"Planta 4M - Granulometría - +1/8"" [%]","Planta 4M - Granulometría - -1/8"" [%]","Planta 4M - Granulometría - Finos - 1/4"" [%]"
20/02/2024 14:00:00,,,93,3.5341,0.0119,1.379,6.863,1.667,8.53,,,95.182,3.77,0.0167,0.8957,3.115,0.623,3.738
20/02/2024 12:00:00,93.325,85.07,93.872,3.52,0.0101,1.186,10.113,2.265,12.378,95.218,85.19,94.726,3.7,0.013,0.9968,5.107,1.393,6.5
20/02/2024 10:00:00,,,94.228,3.6,0.0128,1.107,9.027,2.198,11.225,,,94.87,3.63,0.0175,0.9649,6.399,2.005,8.404
20/02/2024 08:00:00,93.97,84.9,94.722,3.65,0.0121,0.9975,9.733,1.378,11.111,94.827,85.409,95.349,3.54,0.0132,0.8587,2.547,0.49,3.037
20/02/2024 06:00:00,,,94.937,3.55,0.0061,0.95,9.563,2.368,11.931,,,96.554,3.39,0.012,0.5918,6.144,5.699,11.843
20/02/2024 04:00:00,94.141,85.138,94.894,3.58,0.0016,0.9595,8.985,2.08,11.065,95.457,85.382,96.255,3.38,0.0106,0.6581,7.136,2.379,9.515
20/02/2024 02:00:00,,,94.088,3.58,0.0069,1.138,5.623,1.312,6.935,,,94.291,3.35,0.0106,1.093,5.792,1.1,6.892
20/02/2024 00:00:00,93.379,85.065,93.628,3.65,0.0098,1.24,7.289,1.458,8.747,93.1,84.898,93.506,3.15,0.0126,1.267,7.561,2.646,10.207
19/02/2024 22:00:00,,,95.352,3.48,0.009,0.858,1.357,0.339,1.696,,,95.954,3.18,0.0113,0.7248,6.192,2.176,8.368
19/02/2024 20:00:00,92.076,84.7,92.544,3.3363,0.0078,1.639,10.196,2.514,12.71,93.787,84.864,94.007,3.9311,0.0118,1.156,8.668,2.568,11.236
19/02/2024 18:00:00,,,94.151,3.4388,0.0089,1.124,10.03,2.155,12.185,,,94.838,3.7749,0.0112,0.9719,8.239,2.515,10.754
19/02/2024 16:00:00,93.47,85.176,93.587,3.7259,0.0105,1.249,8.968,1.206,10.174,94.958,85.206,95.237,3.9135,0.0126,0.8835,6.298,1.038,7.336
19/02/2024 14:00:00,,,95.041,3.7242,0.0102,0.9269,6.512,0.973,7.485,,,95.512,3.9319,0.0128,0.8227,8.435,7.946,16.381
19/02/2024 12:00:00,94.278,85.339,94.693,3.7337,0.0077,1.004,8.47,0.987,9.457,95.074,85.439,95.303,4.077,0.0082,0.869,1.047,0.856,1.903
19/02/2024 10:00:00,,,94.648,3.741,0.01,1.014,5.091,0.182,5.273,,,95.522,4.251,0.0118,0.8203,8.525,2.558,11.083
19/02/2024 08:00:00,93.826,85.1,94.323,3.877,0.0112,1.086,6.888,0.984,7.872,95.186,85.065,95.232,4.146,0.0116,0.8847,8.706,0.622,9.328
19/02/2024 06:00:00,,,94.445,3.76,0.0083,1.059,7.411,1.221,8.632,,,95.987,4.31,0.0096,0.7173,6.623,0.883,7.506
19/02/2024 04:00:00,93.586,85.223,94.359,3.76,0.0074,1.078,4.385,0.572,4.957,95.585,85.155,96.014,3.94,0.0111,0.7113,8.225,4.814,13.039
19/02/2024 02:00:00,,,95.312,3.89,0.0115,0.8668,6.063,1.163,7.226,,,95.33,3.79,0.0072,0.8629,5.887,2.134,8.021
19/02/2024 00:00:00,94.123,85.174,94.791,3.78,0.0091,0.9823,7.137,1.322,8.459,93.464,84.263,94.287,3.89,0.0115,1.094,8.085,2.985,11.07
18/02/2024 22:00:00,,,94.391,3.79,0.0097,1.071,7.888,1.214,9.102,,,94.861,3.95,0.0109,0.9668,5.534,1.976,7.51
18/02/2024 20:00:00,94.649,85.065,95.136,3.81,0.0081,0.9059,7.858,1.387,9.245,94.407,85.191,94.888,3.9485,0.0116,0.9608,6.17,1.285,7.455
18/02/2024 18:00:00,,,95.189,3.7814,0.0076,0.8942,7.636,1.219,8.855,,,94.951,3.8295,0.0108,0.9469,5.217,1.043,6.26
18/02/2024 16:00:00,94.055,84.936,94.612,3.4741,0.0078,1.022,6.826,1.234,8.06,95.281,85.536,95.442,3.9106,0.0094,0.8381,1.514,0.757,2.271
18/02/2024 14:00:00,,,94.963,3.67,0.0087,0.9443,7.929,1.155,9.084,,,95.369,4.04,0.0118,0.8543,7.223,2.752,9.975
18/02/2024 12:00:00,93.952,85.227,94.54,3.75,0.0089,1.038,11.208,1.164,12.372,94.673,85.134,95.139,3.93,0.0101,0.9052,3.241,1.621,4.862
